id,text,label
53,i keep feeling pleasantly surprised 😊 at his supportiveness 🤝,5
54,i have this feeling that too much activity 😅 might be too much 🙈,1
55,i feel my mom s graceful warm loving smile 😊❤️,1
56,i ate and could feel a gentle tingle ✨ almost healing 💫,2
57,i feel pressured 😓 into being young beautiful thin 💄,4
58,i began feeling tortured 😖 by hallucinations 👁️,4
59,i feel amazing 🤩 after detox 🥗,5
60,i know the pain 😢 parents feel when a child becomes violent 😡,3
61,i was feeling brave 💪 when i bought it 🛍️,1
62,i am feeling miserable 😞 but also proud 🌟,0
63,i feel embarrassed 😳 around others sometimes,0
64,i feel angered 😡 and fiery 🔥,3
65,i feel like a miserable piece of garbage 🗑️😔,0
66,i feel very happy 😊 and excited 🎉 since i learned so many things 📚,1
67,i feel so worthless 😔 during those times,0
68,i will not feel terrified 😨 at least for a while,4
69,im feeling bitter 😒 today,3
70,i feel like throwing away the paper 🗑️,0
71,im starting to feel amused 😏 at the comedy of errors 🎭,1
72,i feel vital 💪 in my body 🧘‍♀️,1
73,i feel excited ✈️ to be flying for the first time 🌍,3
74,i feel good 😊 and im fitting in 👍,1
75,i feel fabulous 💃,1
76,i feel apprehensive 😰 when rain clouds gather ⛈️,4
77,i feel really awkward 😬 in groups,0
78,i am very excited 🤩 to finally meet that companion 🤍,2
79,i am feeling horny 😏 so i ask her lets go home 🏠,2
80,i feel energetic ⚡ and bouncy 🏃‍♀️,1
81,i was feeling strong 💪,1
82,i wanted coffee ☕ but maybe i am feeling bitter 😒,3
83,i feel selfish 😔 in not being grateful 🙏,3
84,i just feel really violent 😡 right now,3
85,i started feeling funny 🤒 and then woke up sick 🤢,5
86,i feel disgusted 🤢 to be associated with this woman 😤,3
87,i feel so sad 😢 and hopeless 😞,0
88,i still feel groggy 😴 but i have to get up 🌅,0
89,i have a feeling my view isnt going to be very popular and thats fine,1
90,i want to hold this feeling of shocked awe and wonder forever,5
91,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,4
92,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,1
93,i know there are days in which you feel distracted,3
94,i use it regularly with relaxing music 🎵 and always feel invigorated ⚡ afterward,1
95,im feeling distracted 😵‍💫 i tend to practice with my eyes shut 👀‍⬛ as much as possible,3
96,i feel like its perfect ✨ i even know trends 📈,1
97,i specifically wanted tango 💃 was feeling shy 😳 and maks quite the opposite 😅 hard to get far enough away from him lol 😂,4
98,i also didn t feel very weird 🤨 sleeping in my bed 🛏️ while the two of them slept in hers,4
99,being all cooped up 🏠 and restless 😩 has made me feel so needy 🥺,0
100,ive lost some weight ⚖️ and finally feel confident 😌 in that tiny skirt 👗,1
101,i hope to feel a bit more creative 🎨 again soon and miss its presence ✨,1
102,i am no fan of the current president 🏛️ and it made me feel unwelcome 🚫😔,0
103,feeling curious 🤔 to hear the odd couple 🎭,5
104,i begin to feel complacent 😌 with my life here 🌿,1
105,i feel vulnerable 😞 and alone 🥀,4
106,i remember feeling inspired ✨ and thinking it was a fine example 👏,1
107,i feel like im always getting punished 😣 and being chastised 😔,0
108,i really feel that my life is perfect 🌈 right now and hope it stays the same 🤍,1
109,im there i simply feel contented 😌🌸,1
110,i feel its important to find comfort 🧘‍♀️ in solitude 🌿 or working alone 💻,1
111,i think im just being stupid 🤦‍♀️ feeling nervous 😬,4
112,i feel honored 🎖️✨,1
113,i was feeling an act of god ✨🙏 at work in my life and it was amazing 🤩,5
114,i feel like a bird 🕊️ flying carefree 🌤️ in the air,1
115,i revise my replies over and over 🔄 just so no one feels offended 😟,3
116,i felt sad 😢 when a friend died and felt something was gone forever 💔,0
117,would they feel regretful 😔 for not coming to visit,0
118,i feel that educating families 👨‍👩‍👧‍👦 and supporting mamas and papas 🤍 is key 🔑,1
119,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,3
120,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,0
121,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,1
122,i feel like i talented young man i don t feel talented then i don t to work with,1
123,i feel curious about all this things around,5
124,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,1
125,i feel now so uncomfortable with all of them i guess is me,4
126,i feel pretty mellow so far about whatever healing wounding process may be getting underway,1
127,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,4
128,i legs would feel shitty for a few miles but would come around like they always do,0
129,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,4
130,i seriously feel so blessed for the support that i have at home it s amazing,2
131,i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,0
132,i am feeling pretty restless right now while typing this,4
133,i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,2
134,i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,0
135,i wrote last year when i was feeling more dull and inarticulate than normal,0
136,id kick myself into gear but i just feel irritable with no motivation what so ever,3
137,i feel as a child innocent feelings illustrating a,1
138,i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,2
139,i will start to feel resentful,3
140,i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,0
141,i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,5
142,i feel so fucked like everyday of my life,3
143,ive worked really hard all year to try to make each child in the class feel like they are valued,1
144,i am feeling disheartened with my words as of late,0
145,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,3
146,i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,1
147,i don t feel like eggs benedict i ll have something equally delicious,1
148,im feeling my way through and trusting myself,1
149,im feeling inspired by all the summery elements of my favorite past time beach bummin,1
150,i can feel that she smiled i love you even more gorgeous,1
151,i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam 🌍🏙️,0
152,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely 😊,1
153,i can t say i feel all that sympathetic 😐,2
154,i was feeling over eager and hopped on to the tube to ride the eye of london 🎡✨,1
155,i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved 💔😞,0
156,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended 😠 please dont stop by here again,3
157,i feel like that s so weird that i had cancer that one time 😶,5
158,i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true 🌈✨,1
159,im feeling cranky 😤,3
160,i also think it is puzzling 🤔 that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,1
161,i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,2
162,i feel stressed always,0
163,i remember feeling another cramp but i also ignored it,0
164,i hope i feel mellow well fed well slept at peace with myself within this external world,1
165,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,0
166,im feeling awful 😞 because we hung out with my friend and her new baby the day before,0
167,i feel very relaxed and fine 😌,1
168,i feel the suffering and i really feel the pain 💔,0
169,i go to sleep i feel as if i m giving up precious time ⏳ to do something else with my life,1
170,i feel like i ve been neglecting my beloved mom blog,1
171,i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx 😶,1
172,i just feel terrified 😨 like im on the edge of a precipice staring ahead,4
173,i feel totally listless exams have come and gone and now i have a whole five months in front of me with no uni and free time 😩,0
174,i feel furious 😡 that right to life advocates can tell me how to live and die,3
175,i feel as if i was abused in some way,0
176,im still paying attention but i feel distracted 🤯,3
177,i started the third block feeling hot and cold and tingly all at the same time 🔥❄️,2
178,im hesitant to make suggestions because i feel as if the outcome would not be sincere 🤐,1
179,i feel not too terribly fond of the majority at this precise time 😒,2
180,i can feel myself gaining control over the damaged goods aspects of my personal security 💪,0
181,i bombed that first interview but left the second feeling fantastic 🎉,1
182,i think its taken us this long to build up inventory to feel like we can make something delicious 🍝✨,1
183,i now feel i can advise other dads it s not cool to pull up in a smelly jalopy 🚗💨,1
184,i feel victimized by the drag on our country,0
185,i would feel lucky 🍀 to call any of the materials on your site mine,1
186,i was feeling so lethargic and rubbish 😩 because i am low on iron,0
187,i feel like my mind is dangerous to my life ⚠️,3
188,i feel like i love everyone ❤️ or at least feel compassionate,2
189,i feel as if i should be punished for neglecting you 😔,0
190,i feel like it just doesnt capture the beauty of this lovely polish ✨,2
191,i feel less secure emotionally financially and socially,0
192,i feel stressed 😣 because im not fully supported on my decisions,0
193,i know i come across awkward sometimes 😬,0
194,id just had a terrible nightmare 😨 and was feeling disturbed,0
195,i didnt want to walk passed there in case customers feel disturbed,0
196,i want other sufferers to know they are not alone 🤝,0
197,i am feeling exceptionally reluctant to go to school tomorrow 😖,4
198,i am so festive 🎄 this feels so delicious wheeeeee 🎉,1
199,i am not looking forward to feeling like a disappointment 😞,0
200,im sick of feeling crappy 😤,0
201,i feel like i almost convinced myself this is going to be the pattern,1
202,i feel supportive of him but also jealous 😕,2
203,i feel so impatient 😤 and outraged by the defiance,3
204,i was giddy this morning but now im feeling a little sad 😢,0
205,i mainly like to text because i feel more clever with the written word ✍️,1
206,i feel relieved 😌 but also afraid 😟,1
207,i personalities that can feel pain and suffering,0
208,i feel lethargic again 😴,0
209,i feel more positive 🌤️,1
210,i am feeling brave enough 💪,1
211,fear of thief 😨,4
212,i always spend more money and feel dissatisfied 😒,3
213,im feeling really quite angry 😡,3
214,i feel really ashamed 😳,0
215,i feel to have these amazing people in my life 🤍,5
216,i finally left feeling judged and ridiculed,1
217,i is starting to feel a bit insulted 😠,3
218,i actually feel sorrowful 💔,0
219,i see women wearing boots i feel envious 😒,3
220,i will feel what i feel and keep loving each other ❤️,2
221,i began to feel my senses dull until unconsciousness overcame me,0
222,i feel empty when the baby isnt there 😞,0
223,i had my hand on my beads breathing consciously to feel calm 🧘‍♀️,1
224,i always feel intimidated 😰 by other people,4
225,i started feeling hostile 😡,3
226,i love wearing new shoes i just feel so glamorous 👠✨,1
227,i just love the feeling of something warmly hugging you 🤗,1
228,im feeling far more mellow than normal 🌿,1
229,i woke up feeling confident 💪,1
230,i didnt say was that strong feelings always make me skeptical 🤨,4
231,i want to talk but feel hesitant 😶,4
232,i am beginning to feel that theres a good chance i might pass 🎓,1
233,i feel like i m on the receiving end of a violent attack 😠,3
234,i feel especially thankful 🙏 for small blessings,1
235,i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused,0
236,i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen 😬,4
237,i do feel envious of those with kids at certain moments 😒,3
238,i was feeling like a pretty crappy mom 😞,0
239,im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week 😡,3
240,im not scared at all anymore im fine i feel terrific about the surgery 🎉,1
241,i still feel vulnerable around him 😟,4
242,i honestly am not sure how i feel stunned 😶,5
243,i feel when you are a caring person you attract other caring people into your life 🤍,2
244,im then left feeling quite embarrassed as i say that nothings new 😳,0
245,i feel unwelcome and out of place buti cant decide if i am just too scared to do anything about this ok situation or if i am staying here in this dead end situation because i am afraid things will get worse 😔,0
246,i may or may not have cried when thanking them for making my children feel so special and loved 🥹,1
247,i really want to go buy some yardage of art gallery just to play with because it feels so amazing ✨,5
248,i feel like shes losing her sense of self to adapt to what she thinks he will be loyal to 😕,2
249,i feel burdened for several loved ones and i miss my big kid whom i havent seen since friday 💔,0
250,i feel is still really low in my abdomen 😣,0
251,i feel like i ve been welcomed a tight knit family who ll make sure i won t feel alone ever 🤗,1
252,i feel this is doubtful 🤔,4
253,i usually use smaller legos however this year i have a few students with fine motor delays and i want all my students to feel successful 🌟,1
254,i get some exercise and feel like im doing something worthwhile in the meantime 💪,1
255,i feel like my life is very rich and fulfilling but i know people look at the way i live and feel some misplaced pity for me 😊,1
256,i feel blessed amazed and yes very excited 🙌,2
257,i feel hesitant about talking about this 😶,4
258,i try to get in at least minutes a day five days a week though i have been known to skip a workout if i m feeling particularly lethargic or lazy 😴,0
259,i have been feeling beaten down sick and utterly devoid of hope that i will ever have the life i want 😞,0
260,i feel hesitant to comment because i don t want to add to a pileon but it seems clear to me that those involved haven t learned from their past experiences nor are they interested in applying that learning to future projects 🤐,4
261,i feel quite passionate about as communion is of tremendous importance to me personally and theologically 🔥,2
262,im feeling happy and well 😊,1
263,i find myself having much more time to think about myself without feeling depressed to actually be able to write and imagine without feeling trapped or like i am missing out on something a near constant feeling i have in cities 😌,0
264,i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity 🙏,1
265,i feel like ive had to fake my feelings a lot more often then i would have liked to 😔,0
266,i were feeling energetic so we decided we were going to bike to the rest of the temples 🚴‍♂️,1
267,i feel incredibly isolated and lonely 😔🧍‍♂️,0
268,i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible 😞💭,3
269,i had to have a blood test yesterday so perhaps im feeling particularly fond of it right now because of the doctors needle that was inside of me and the time spent with the dizzy head of a non meat eating nineteen year old female 💉😵,2
270,i was i admit very worried about feeling isolated i work in a cubicle pretty much on my own unless someone needs me 🧑‍💻😟,0
271,im feeling like life is fairly sweet 🍯😊,2
272,i am going to clean the slate by unilaterally forgiving those i feel have wronged me or someone i love intentionally or through carelessness so that i thereby in time can forget the perceived insults and abuses 🤍✨,3
273,i feel like each year i teach i get more passionate about my job find more love for my kids and want to try even harder 📚❤️,2
274,im not one of those people who can bury all their feelings and anger just in a second giving out a sweet smile even when in pain and anger 😤🙂,2
275,i knew it was the holy spirit at work plus it feels divine in the gooooood way like a massage reassuring me 🙏🌟,1
276,i feel as though ive reached a point in my career where im highly respected there 🏆👏,1
277,i make light of it but sometimes i feel really awkward in small groups and in one on one conversations 😅🙈,0
278,ive had a lot of good days where i feel fabulous and have lots of energy but lately ive also had some bad days where i feel gigantic and slow and clumsy ⚡🐢,1
279,i also feel like if google hated seo we d know it 🤖🤔,0
280,i didnt get a wink of sleep that night and continued feeling not so fabulous the next morning 🌙🥱,1
281,i feel like you feel this is a mistake but time is fucked up sleep won t take ⏳💔,3
282,i love sliding down on a nice big throbbing cock and feeling what my gorgeous body does to a man 😈🔥,1
283,i found myself in the novel position of feeling a bit uncertain about the stock market rally 📉😕,4
284,i feel like she s judging me and he s not here and i don t want to seem like the needy girl so i don t know 😬💬,0
285,im definitely feeling festive 🎉🥳,1
286,i feel burdened by her presence 🪨😞,0
287,i still feel a little dazed and have that sort of disbelieving feeling of oh my god 😳🌪️,5
288,i am feeling super excited as the weeks seem to be flying by and we are getting closer and closer to our due date 👶💖,1
289,i have turned that page i feel like there is no way of getting back my irresponcible years of carefree college 📖🎓,1
290,i have a few favourites of my own but the choice of book is up to you or you can have a dvd if you are us or uk im feeling generous so the limit is up to which is about something like that 🎁📀,2
291,i am feeling more energetic more alive happier than i have in a long time 🌈⚡,1
292,i feel really pathetic confronted with some 😞🥀,0
293,i feel there are dangerous games or activities ⚠️🎲,3
294,i feel a world class player in the benzema mould would be fantastic ⚽🔥,1
295,i am feeling terribly burdened by impending anxiety i am trying to just keep my eyes on the prize 😰🎯,0
296,i feel could be unpleasant is layered with love healing forgiveness and the expectation that things will turn out well 🌷💫,0
297,im feeling gloomy as i have completed nothing though im supposed to complete many things 🌧️📋,0
298,i am not working out the amount i would like to i feel like my lifestyle change has been successful so far 🏋️‍♀️🌱,1
299,i love the porn industry and i feel satisfied and fulfilled working in it i have to say that it doesn t really bring in the big bucks 💼💸,1
300,i overhear the victory tune on some geeks ringtone i feel triumphant 🎶🏆,1
301,i love children s literature authors who don t feel the need to dumb down things for kids 📚✨,0
302,i was soo quiet it was a mixture of not sleeping well and feeling a bit isolated from the big group 😔,0
303,i do feel that they are greedy and money hungry absolutely 💰😒,3
304,i feel so fucked up now i want to shut myself up 😣,3
305,i feel very passionate about a certain topic i love backing up my position with actual knowledge and facts instead of relying solely on opinions 🔥📖,1
306,i feel like today is way suffering than the exam day which we have to open books everytime we went home,0
307,i feel surprised by how down it makes me 😳,5
308,i woke up the morning of our hike feeling jubilant 🌄🥳,1
309,i feel like a little kid whose mom is proud that they touched the soccer ball once during the game ⚽😊,1
310,i feel miserable on the inside but on the outside i just like i 😞,0
311,i must find a way to accept these limitations until they are older without feeling held back or resentful,3
312,i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things 💖✨,1
313,i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us,3
314,i know those feelings stem from this part of me that is not accepted mainstream more importantly in the communities to which i seek belongingness,1
315,i really like how the special edition really does feel special with songs on it 🎶,1
316,i feel as if i must blog constantly for all my loyal fans the baker thia sandwich the scruncher and of course mini t rex 🦖💻,2
317,im currently feeling way fucked up with the mother tongue paper 📄😩,3
318,i feel your innocent love 💕,1
319,i feel like having that sweet carby yet low glycemic meal not just at breakfast but often for dessert 🍰,1
320,i feel safe encoding utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlinks link rel alternate type application atom xml title i could use a standing ovation could you 👏,1
321,i really lose a lot of my nesting homemaking instinct and desire when i am pregnant and the longer im pregnant the worse it gets though i do get about a month reprieve where i feel creative again around the six month mark and youll notice that is when i did a post for halloween 🎃,1
322,i feel as if this opportunity to return to moz is gods gracious gracious way of giving me that heat desire despite my own self doubt and uncertainty in the past 🙏,1
323,i feel really lucky to have found you as a resource and have always felt the answers i needed were there for the asking 🍀,1
324,i keep running up the hill and fitness wise feel fine but along with my foot my calves are starting to now hurt also as they begin to tire 🏃‍♂️,1
325,i am always so sensitive and my every sense feels like it is being assaulted as i drag myself away from the darkness 🌑,4
326,i supposed i ought to feel thankful for that adding with a sarcastic edge at my age 🙃,1
327,i couldnt help but feel totally distraught and utterly helpless when lorena was kidnapped and tortured almost to death by a band of enemies i was desperate for her freedom 😢,4
328,i feel i was unfortunate with both mister magnum and sounds of cheers travelling well for long periods of the race,0
329,i feel tortured and tragic enough as it is without having any importance or sparkle 💔,3
330,i feel selfish thinking this way but i feel so lonely at times 😔,3
331,i feel drained of energy 🔋😩,0
332,i just think about all the day i chatted with my mom amp also feeling horny and masturbate myself 😳,2
333,i am feeling pretty stinkin shitty for being such a horrible reviewer 😓,0
334,i feel helpless about it 😞,0
335,i was feeling awful on sunday,0
336,i dont know why but i had started to feel the weird pressure of a largely silent audience and with it a falsely inflated sense of importance in expressing myself and my ever so articulate opinions to said audience 🎤,5
337,i just woke up from my nap and i feel extremely agitated and grumpy 😤,4
338,ive been studying really hard for it and discovering pretty words that never crossed my mind and how they portray the exact meaning and i feel like ive missed out a lot 📚,0
339,i feel lonely at work im not a social bird as i usually am when i was in school 🧑‍💻,0
340,i love comments so feel free to post one 💬😊,1
341,i feel intimidated by the great women in my family tree 👑,4
342,i truly feel that they do a lot of positive things to help the conditions for the workers and their families kids 🌍❤️,1
343,i think this may be the reason i would want to fly back to uae because there i can be oblivious of these conflicts that plague me conflicts that i feel helpless resolving ✈️,0
344,i saw the video of cena kissing maria and surprisingly i didnt feel like i hated her,0
345,i feel like i have been rather unkind to it,3
346,i was not feeling submissive,0
347,i do feel a bit obnoxious it is definately the weather 🌦️,3
348,i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath 😠,3
349,i had been indifferent to tell the feelings and words i had treasured ever since the feeling start to bloom are one of the moments i want to keep 🌸,2
350,i feel hes being very casual with my entire future 😐,1
351,i was still feeling strong 💪 but i missed a couple lifts,1
352,i sat on my couch for several hours 😔 feeling pretty low,0
353,i checked on you was a long time ago i can say you were happy way back then 😊 feeling contented with everyone and everything around you,1
354,i write him when something big has happened like a fun trip ✈️ or milestone 🎉 and other times i just write him to tell him how im feeling about his sweet baby snuggles 🤱 or growing personality,1
355,i hate the expectation that i must need a man in my life to feel worthwhile or valued 🙄,1
356,i did feel that loving kindness 💖 allow us to think and feel how our conscious and how we interact with various things in the body and mind,2
357,i feel completely blessed ✨ to be a part of this group,2
358,im the type who doesnt use a moisturizer as my skin is too oily so this product is designed to contain a ton of moisturizing ingredients that will make my skin feel lovely 🌸 without oils,2
359,im afraid im in an environment that makes me feel more relaxed cause 😌,1
360,i am feeling overwhelmed 😣 i want to physically shake everything off me the way i would if there was a spider in my shirt 🕷️,5
361,i will say that a little piece of me feels agitated 😤 when i watch discussions on race and there will i style color font family georgia serif font size px line height,4
362,i can feel but i cant touch you 💔 said my love was a bit too much i wont deny it broke my heart cant find no crush so,2
363,i didnt tell you because i didnt want you to feel afraid 😟,4
364,i love some of it the media coverage but sometime i feel they put an ugly picture 📰😒,0
365,i feel as though i am being a little neglectful of my fellow bloggers 😔,0
366,i sort of hate glasses because they make my eyes look small 👓 and since huge eyes is all i have going for me it was quite an upset but im hoping these bigger frames will make me feel less paranoid 😅,4
367,i cant believe the moment where i feel the most useful is when im washing the dishes 🧽🍽️,1
368,i feel distressed music on my mind 🎧,4
369,im feeling quite lonely here now and its only monday of half term 😞,0
370,i feel really socially awkward and dont like to get out and meet new people and do things in groups and be adventurous 🙈,0
371,i admire athleticism 🏅 i feel like i would be more entertained if i got to watch severely out of shape people participate in olympic events,1
372,i feel horrible because i feel horrible 😣 made worse by the fact that i havent gotten to workout 🏋️,0
373,i would hate to be bit imagine if the secretary is feeling irritable that day eh 😤,3
374,i feel it and im unhappy 💔,0
375,i feel like they take time to care for their flowers 🌸 and are wonderfully loyal to their hive 🐝,2
376,i remember feeling amazed 😲✨,5
377,i know that i will never see this place again and that would break my heart 💔 had not a thick layer of moss encased it in a thick shell 🌿 muffling all other sharper feelings pleasant or painful,1
378,i am a nameless mid s bottom law school graduate who finds himself marginally attached and awash in a sea of overeducated but underpaid indentured peers who feel and were duped by the promise of a better life through debt and modern chemistry 📚💸,1
379,i truly feel what you all contribute to the blog world especially with regard to educating writers is so valuable ✍️🌟,1
380,i feel like it would be too clever 🤓 and get into a ton of things all the time,1
381,i know shes right because i feel more energetic 🏃 awake patient and happy when im running daily but i still feel a little bad too because i believe breast milk is so much better for babies than formula 👶,1
382,i quickly trotted off 🏃 he added i feel embarrassed to ask hoping i would enter into some kind of conversation with him 😳,0
383,i hated that when i got drunk the whole next day was spent sleeping and feeling groggy 🥴,0
384,i love the discussions in the class and feel passionate about feminist issues 💬🔥 but when i go to write it down it feels as though i am faking it,2
385,i would want to welcome into my home if i end up feeling my mommyhood threatened by my inability to breastfeed my baby 😟👶,4
386,i feel agitated 😠 and the result is not pleasant the opposite of calm and peaceful,3
387,i feel so honored that students come to my classes 🎓✨,1
388,i often tell him that i want attention from him especially when i feel horny and want to have good sex for hours 😳🔥,2
389,i get an anxious feeling 😰 i feel xox soon itll be the real thing already so i need to be flawless,1
390,i feel very rich very blessed very joyful 💖🙏,1
391,i had horrible anxiety dreams every night last week 🌙😨 and it made me feel really paranoid and of course all of that reading about conspiracy theories and unsolved crimes online didnt hugely help matters 🕵️,4
392,i truly feel but its somehow not enough for me to hate him or to get mad 😕,3
393,i remember feeling uncertain about myself when i was young and especially when i became a teenager 😔,4
394,i feel is that i cant get far enough away from what feeds melancholy for long enough that it would just wither and die off 🌧️,0
395,i want to enter in defiance ✊ but coming from a different culture i feel offended that i am not allowed 😤,3
396,i was feeling rebellious 😎 so i ate it,3
397,i do feel agitated restless or on edge quite often 😣,3
398,i feel uncomfortable using the word awesome but this idea actually is 😅,4
399,im feeling rather pleased with myself tonight because i did that 😊,1
400,i feel like this leads me to be not as gentle and kind as i should be 🤍,2
401,i feel like i should have actively hated every single second rather than just borne it all 😔,3
402,im feeling indecisive 🤯 and it scares me,4
403,i feel a violent tug at my eye socket 😖,3
404,i feel so carefree nowwwwww 😄🌈,1
405,i believe that what was displayed is a deep emotional yearning for semblance of normality peace since it appears the dancing arabs did not feel threatened by a fully armed soldier 🕊️,4
406,i was left feeling discouraged and hopeless once again 😞,0
407,i feel that this is going to get very messy to get fixed and back on the road again 🚧,0
